Count,Accel.X,Accel.Y,Accel.Z,Gyro.X,Gyro.Y,Gyro.Z
352,-0.0059,0.0967,1.0389,0.0007,0.0173,0.0462
353,0.0267,0.1388,1.0333,0.0172,-0.0168,-0.0449
354,0.0381,0.1016,1.061,-0.0032,0.0025,0.0224
355,0.0134,0.0927,1.0296,0.0261,-0.0252,0.0242
356,-0.0182,0.096,1.0786,0.008,0.0301,-0.0385
357,0.0909,0.1713,0.9957,0.0115,-0.0262,-0.0293
358,-0.0066,0.0931,1.0746,0.0076,0.004,0.0498
359,0.0193,0.0942,1.0167,0.0209,0.0268,-0.0321
360,0.0435,0.1237,1.0695,0.018,-0.0188,-0.0431
361,0.0374,0.131,1.0368,-0.0128,0.0097,0.0503
362,0.0024,0.0887,1.0336,0.0233,-0.0332,-0.0341
363,0.0618,0.1309,1.0568,0.0204,0.0451,-0.0421
364,0.0357,0.1235,1.0381,0.0119,-0.0292,0.041
365,-0.0038,0.1034,1.0476,-0.0065,0.019,-0.02
366,0.0613,0.1378,1.0301,0.0204,-0.0093,-0.0557
367,0.0242,0.1217,1.0714,0.0201,-0.0001,0.0257
368,0.0133,0.0897,1.0407,0.0087,0.0212,-0.0097
369,0.0327,0.1265,1.0477,0.0061,-0.0336,-0.0467
370,0.0495,0.1418,1.0381,0.0113,0.0112,-0.0052
371,0.007,0.1064,1.0402,0.0316,-0.0134,0.0027
372,0.0358,0.1032,1.0601,0.0157,0.0085,-0.0682
373,0.05,0.1221,1.0394,-0.0004,-0.031,-0.0138
374,0.0196,0.1241,1.0438,0.0142,0.0132,-0.0012
375,0.0123,0.123,1.0345,0.0305,-0.0125,-0.0268
376,0.0319,0.126,1.0609,0.0136,0.0013,-0.0494
377,0.0455,0.1117,1.0306,0.0036,-0.021,-0.0003
378,0.0126,0.1139,1.0485,0.016,0.0111,-0.0364
379,0.0378,0.1355,1.0405,0.024,-0.0164,-0.02
380,0.0129,0.127,1.0454,0.026,-0.0076,-0.0248
381,0.0353,0.0947,1.0472,0.0043,-0.0112,-0.0567
382,0.0281,0.1116,1.0444,0.0322,-0.034,-0.0826
383,0.06,0.1581,1.0268,0.0105,0.0052,-0.0405
384,0.0154,0.1368,1.0562,0.0125,0.0092,0.0748
385,0.0197,0.0787,1.0299,0.0129,-0.0401,-0.0455
386,0.0709,0.1516,1.0456,0.0137,0.0305,-0.019
387,0.026,0.1068,1.0494,-0.0011,0.0264,0.1019
388,-0.0001,0.132,1.041,0.0149,-0.0188,-0.0028
389,0.067,0.1462,1.045,0.0043,0.0134,0.0067
390,0.0145,0.0925,1.0379,0.0146,-0.0185,0.0569
391,0.0244,0.114,1.05,0.0248,-0.0025,-0.0383
392,0.0519,0.1647,1.0355,0.0096,-0.0048,0.0064
393,0.0155,0.1242,1.0474,0.0116,0.0417,0.0224
394,0.033,0.1038,1.0371,0.0288,-0.035,-0.029
395,0.0615,0.1331,1.0586,0.0132,0.0193,-0.0196
396,0.0241,0.1062,1.0314,0.0039,-0.0294,0.0362
397,0.0303,0.1357,1.049,0.019,0.015,-0.0469
398,0.065,0.1447,1.037,0.016,-0.006,0.0126
399,0.0106,0.1022,1.0408,0.027,-0.0093,0.0043
400,0.0529,0.1272,1.0477,-0.0001,0.0112,-0.0262
401,0.0408,0.1396,1.0472,-0.0001,-0.0124,0.0314
