Count,Accel.X,Accel.Y,Accel.Z,Gyro.X,Gyro.Y,Gyro.Z
311,-0.0244,0.001,1.0555,0.0099,-0.0103,-0.0631
312,-0.0322,-0.0032,1.0449,0.0087,-0.0007,-0.0655
313,-0.0289,-0.0191,1.0472,-0.0055,-0.0068,-0.0626
314,-0.025,-0.0179,1.0563,0.0,-0.0075,-0.0461
315,-0.0253,-0.015,1.0438,0.0173,0.0064,-0.0318
316,-0.0178,-0.0084,1.0467,0.0095,-0.0045,-0.0123
317,-0.0063,-0.0117,1.0474,0.0035,-0.0073,0.0048
318,-0.0101,-0.0102,1.0477,0.0061,0.0049,0.0097
319,-0.0228,-0.0194,1.0514,0.0125,0.0083,0.0077
320,-0.0225,-0.0311,1.0489,0.0068,0.0015,0.0105
321,-0.0151,-0.0194,1.0462,0.0123,-0.0017,0.0064
322,-0.0135,-0.0103,1.045,0.0145,0.0072,-0.0016
323,0.0015,-0.0157,1.0505,0.0087,0.0039,-0.0057
324,0.006,-0.0137,1.0458,0.0035,0.0045,-0.0033
325,0.0021,-0.019,1.0453,0.0049,0.0004,0.0076
326,0.0118,-0.0222,1.0478,0.0119,0.0075,0.0108
327,0.0335,-0.0201,1.0524,0.0052,-0.002,0.0113
328,0.0474,-0.0296,1.0491,0.0097,-0.0005,0.0164
329,0.0609,-0.0203,1.0397,0.0232,0.0087,0.0272
330,0.0687,-0.0201,1.0615,0.0201,0.0049,0.0443
331,0.0833,-0.0052,1.0524,0.0162,-0.0091,0.0522
332,0.0798,-0.0114,1.0319,0.0252,0.0047,0.0521
333,0.098,-0.0318,1.0654,-0.025,-0.0321,0.0526
334,0.0854,-0.0009,1.051,0.0028,-0.0073,0.063
335,0.0909,-0.0344,1.0345,0.0364,0.0414,0.0565
336,0.0809,0.0109,1.0618,-0.0033,-0.0132,0.0093
337,0.0391,-0.1014,1.0507,-0.0495,-0.0393,-0.0241
338,0.1017,-0.0171,1.0978,0.0274,0.0241,-0.0459
339,-0.0377,0.0379,0.9869,0.1651,0.1678,-0.0577
340,0.1384,-0.0583,1.2047,-0.0138,-0.0202,-0.0585
341,-0.0538,0.0665,1.0001,-0.0732,-0.0716,-0.0747
342,0.0103,-0.0504,1.0685,0.131,0.1278,-0.0198
343,0.0731,-0.0015,1.2113,-0.0502,-0.079,0.0322
344,-0.0685,-0.0219,0.936,0.0192,0.0193,0.0466
345,-0.0065,-0.0571,0.9868,0.0589,0.0535,0.0754
346,0.0081,-0.0494,1.1338,-0.098,-0.1218,0.0796
347,-0.0392,0.0292,1.0065,0.0105,0.0134,0.0949
348,-0.0328,-0.0258,0.9846,0.0823,0.0772,0.0806
349,-0.0601,-0.022,1.0536,-0.0222,-0.0258,0.0402
350,0.0149,0.0186,0.9915,-0.0409,-0.0788,0.0017
351,-0.0577,0.1061,1.0377,0.0495,0.0121,-0.0521
352,-0.066,0.0875,1.0706,0.1563,0.1397,-0.1059
353,-0.0207,0.0333,1.0453,0.0138,-0.0039,-0.1509
354,-0.0363,0.0393,1.0193,0.0429,0.0214,-0.1748
355,-0.0098,0.0403,1.1278,-0.0019,0.0065,-0.1579
356,0.0524,-0.0723,1.0522,-0.1523,-0.1095,-0.1373
357,-0.0978,0.046,1.0452,0.0754,0.0575,-0.0989
358,0.0379,-0.1133,1.0544,-0.1113,-0.1257,-0.0479
359,0.0692,-0.0011,1.05,-0.1061,-0.139,0.0043
360,-0.0688,-0.0074,1.0382,0.1382,0.164,0.0425
361,0.092,0.0062,1.1402,0.0352,0.0387,0.08
362,-0.0095,-0.0232,1.042,0.0266,0.0599,0.0835
363,0.0516,-0.0019,1.1166,0.0522,0.0642,0.0779
364,0.0441,-0.0701,1.0738,-0.0173,0.0084,0.0654
365,-0.0068,0.0476,1.1224,0.004,-0.0218,0.0447
366,0.03,-0.0825,1.0585,0.0137,0.0422,0.0361
367,0.0197,-0.0883,1.0287,0.015,-0.0025,0.0325
368,0.0095,-0.0582,0.8998,-0.015,-0.0999,0.0316
369,0.0254,-0.1509,1.1013,-0.0537,-0.0483,-0.0184
370,0.096,0.0066,1.0699,-0.2246,-0.2274,-0.0607
371,-0.0414,-0.0276,0.9543,0.2202,0.2194,-0.0921
372,-0.0092,-0.2003,1.0303,-0.0045,-0.0052,-0.0968
373,0.0717,-0.076,1.0956,-0.1353,-0.1671,-0.1003
374,-0.029,0.0269,0.9233,0.2202,0.1647,-0.1093
375,0.0522,-0.1081,1.0825,-0.0168,-0.0458,-0.0875
376,0.0208,0.0458,1.0477,-0.0531,-0.0856,-0.0704
377,-0.0016,0.0986,1.0251,0.1489,0.1575,-0.0703
378,-0.0854,-0.0961,0.9814,0.17,0.1567,-0.0562
379,-0.0405,-0.1953,1.0173,-0.1146,-0.102,-0.0273
380,0.0692,-0.1179,1.1484,-0.2509,-0.2479,-0.0138
381,-0.1447,0.0579,1.0439,-0.1226,-0.1631,-0.0848
382,-0.1198,0.0031,0.8368,0.2776,0.2248,-0.0091
383,0.1231,-0.1757,1.1558,-0.1467,-0.1591,0.0348
384,-0.0759,0.0965,1.0784,-0.1506,-0.1755,-0.1161
385,-0.0993,0.0052,0.9619,0.2863,0.2702,0.0162
386,-0.1274,-0.115,1.1573,0.059,0.1471,-0.0574
387,-0.0513,-0.0579,1.0651,-0.0699,-0.1426,-0.0352
388,-0.1034,-0.0855,1.114,-0.0755,-0.1321,-0.0594
389,-0.002,0.031,1.0505,-0.077,-0.119,-0.0573
390,-0.0338,0.0881,0.909,0.2188,0.1555,-0.0747
391,-0.0518,-0.1682,1.1233,-0.034,0.0422,-0.0834
392,0.0447,-0.0021,1.0725,-0.1889,-0.2109,-0.0814
393,-0.0551,0.1332,0.9733,0.2051,0.1286,-0.084
394,-0.1163,-0.1107,1.0432,0.1691,0.1615,-0.0803
395,0.0549,-0.1268,1.1417,-0.129,-0.1485,-0.0402
396,-0.0487,0.056,1.0365,-0.1534,-0.1824,-0.1361
397,-0.0526,-0.0238,0.9728,0.0738,0.0847,-0.0372
398,0.0111,0.0534,1.0485,0.1498,0.1044,0.0027
399,-0.0807,-0.0932,1.0442,-0.0117,-0.0176,0.0222
400,-0.0494,0.0293,1.0747,-0.0264,-0.0386,0.0646
401,-0.055,0.2021,1.0037,0.0945,0.1016,0.0723
402,-0.1013,0.1248,0.9266,0.2282,0.2204,0.1226
403,-0.0838,0.0045,1.0722,0.1169,0.1254,0.1495
404,-0.0686,-0.0253,1.0524,0.0479,0.0176,0.1726
405,-0.0153,-0.0236,1.0775,-0.0824,-0.0806,0.1395
406,-0.0189,0.132,1.0231,-0.0752,-0.0997,0.0822
407,-0.1393,-0.0135,0.9714,0.1473,0.1105,0.0759
408,0.029,-0.0724,1.1223,0.0381,0.1289,0.077
409,-0.1779,0.0339,1.0964,-0.1435,-0.1912,-0.0156
410,-0.0972,-0.136,0.9825,-0.124,-0.2087,0.0479
411,-0.0186,-0.0787,1.028,-0.1056,-0.1483,0.0656
412,0.0334,0.0023,1.078,-0.1164,-0.1461,0.078
413,-0.1652,0.0745,1.0326,-0.0019,-0.025,0.0595
414,-0.0557,-0.0624,1.0141,0.1772,0.1418,0.1253
415,-0.0303,-0.1484,1.0774,-0.1363,-0.1546,0.1467
416,-0.0351,-0.0604,0.9971,-0.079,-0.082,0.149
417,-0.1415,-0.0277,1.1495,-0.0097,0.0113,0.1619
418,-0.1136,0.1263,1.0486,0.1573,0.1285,0.1549
419,-0.1843,-0.0145,1.0363,0.1947,0.1881,0.1095
420,-0.1073,-0.1137,1.3061,-0.1132,-0.0859,0.0437
421,-0.1937,0.0408,0.9954,0.0864,0.0249,-0.0088
422,-0.1599,-0.1349,1.0779,0.1164,0.0917,-0.0043
423,-0.1172,-0.0486,1.0932,-0.0913,-0.0925,-0.0348
424,-0.1636,-0.0029,0.9246,0.1483,0.1459,-0.0823
425,-0.1536,-0.1023,1.1115,-0.0144,-0.0113,-0.128
426,-0.1016,-0.0413,1.0076,-0.0683,-0.1075,-0.1979
427,-0.0901,-0.003,1.0272,0.1019,0.0574,-0.2085
428,-0.1167,-0.0178,1.05,0.083,0.0691,-0.1907
429,-0.0798,0.0118,1.0506,-0.0309,-0.0465,-0.1522
430,-0.1288,0.0493,1.0472,0.0599,0.0394,-0.1012
431,-0.0571,0.0107,1.0494,0.0008,-0.0043,-0.0535
432,-0.0659,0.0265,1.0405,-0.0165,-0.0324,-0.0202
433,-0.0603,0.0176,1.0552,-0.0072,-0.0091,0.0222
434,-0.048,-0.0052,1.0412,-0.0016,-0.008,0.0624
435,-0.033,0.0046,1.0449,-0.0104,-0.0083,0.0971
436,-0.0586,-0.001,1.0491,-0.0087,0.0016,0.1268
437,-0.0356,-0.0061,1.049,-0.0068,-0.015,0.151
438,-0.0165,-0.0193,1.0505,-0.0044,-0.0206,0.172
439,-0.0189,-0.0154,1.0449,-0.0049,-0.0142,0.1543
440,-0.0141,-0.0274,1.0496,-0.0101,-0.0162,0.1173
441,0.0096,-0.0394,1.0519,-0.0056,-0.0216,0.0712
442,0.0121,-0.0338,1.0457,0.0123,-0.0097,0.028
443,0.011,-0.0191,1.0442,0.0184,-0.0043,-0.0019
444,0.0165,-0.0111,1.0455,0.0107,0.0009,-0.0181
445,-0.0225,0.0016,1.0449,0.0241,0.0276,-0.0253
446,-0.0317,-0.0156,1.0581,0.0162,0.0134,-0.0198
447,-0.0361,-0.0071,1.0503,0.0128,-0.0063,-0.0091
448,-0.0467,0.0055,1.0432,0.0241,0.0037,-0.0075
449,-0.0372,-0.0012,1.0515,0.0025,-0.0063,-0.006
450,-0.022,-0.0013,1.0477,-0.0007,-0.0124,-0.0009
451,-0.0312,-0.0068,1.0468,0.0071,-0.0017,0.0021
452,-0.0251,-0.0115,1.0497,-0.0015,-0.0133,0.0091
453,-0.0192,-0.011,1.0459,0.0015,-0.0148,0.0121
454,-0.0101,-0.0096,1.0499,0.0068,-0.0067,0.0138
455,-0.0156,-0.0144,1.0457,0.0055,-0.0041,0.0101
456,-0.0219,-0.0089,1.0466,0.0129,0.0045,0.0087
457,-0.0268,-0.0139,1.0492,0.0105,0.0025,0.0055
458,-0.0284,-0.0071,1.0532,0.0071,-0.0056,0.0037
459,-0.0291,-0.0049,1.0455,0.0108,0.0008,-0.0016
460,-0.0219,-0.0087,1.0505,0.0051,-0.0048,-0.0089
