Count,Accel.X,Accel.Y,Accel.Z,Gyro.X,Gyro.Y,Gyro.Z
377,-0.0082,-0.9895,-0.1575,-1.3787,0.0248,-0.0443
378,-0.0374,-0.9845,-0.2002,-1.4674,0.0377,0.0385
379,-0.0176,-1.001,-0.2291,-1.2519,0.1956,0.0055
380,-0.0013,-0.9611,-0.2269,-1.2935,0.2373,-0.1101
381,-0.0054,-0.944,-0.2653,-1.408,0.2294,-0.1495
382,-0.0217,-0.9178,-0.3093,-1.4514,0.1776,-0.0453
383,-0.0123,-0.9146,-0.3224,-1.3554,0.0513,0.0272
384,0.0034,-0.8721,-0.3413,-1.5915,-0.0043,0.0937
385,0.0026,-0.7961,-0.4258,-2.8139,-0.1107,0.0126
386,0.0043,-0.8698,-0.5172,-2.6751,-0.0495,-0.1118
387,0.001,-0.8984,-0.5391,-1.8472,0.1108,0.0545
388,-0.0181,-0.9546,-0.5834,-1.5779,0.1395,0.102
389,0.0341,-0.8015,-0.6793,-1.433,0.1266,-0.018
390,0.0347,-0.7765,-0.6521,-1.4178,0.1509,-0.0788
391,0.0111,-0.7957,-0.6322,-0.9009,0.0956,-0.0023
392,0.0197,-0.6964,-0.6735,-0.8347,0.0891,-0.0401
393,0.0094,-0.6803,-0.6909,-0.9134,0.1417,0.0109
394,0.0266,-0.6808,-0.6605,-0.9395,0.1185,0.0282
395,0.0156,-0.7035,-0.6814,-0.7603,0.1301,0.0268
396,0.0109,-0.6929,-0.6753,-0.3604,0.1538,0.0575
397,0.0199,-0.7413,-0.7234,0.188,0.0851,0.0888
398,0.0288,-0.6835,-0.7349,0.4575,0.0696,0.0892
399,0.0226,-0.6696,-0.7288,-0.0561,-0.0186,0.0136
400,0.0178,-0.726,-0.7208,0.4427,0.0144,0.0286
401,0.025,-0.7065,-0.7085,1.0598,0.0154,0.0832
402,0.0067,-0.7349,-0.6863,1.0426,0.0284,0.082
403,0.0061,-0.806,-0.6646,1.2797,-0.0493,0.0663
404,0.0117,-0.7124,-0.6179,1.1459,-0.1814,0.1541
405,0.0093,-0.7393,-0.6321,0.8754,-0.2454,0.055
406,-0.0189,-0.7827,-0.5717,0.8853,-0.2265,0.0977
407,-0.0042,-0.8492,-0.5865,1.3883,-0.1341,0.0688
408,0.0092,-0.7839,-0.6146,0.8908,-0.1802,0.0668
409,-0.0197,-0.8091,-0.5343,0.4989,-0.0739,0.0007
410,-0.0156,-0.8712,-0.4906,0.9716,0.0081,0.0383
411,-0.0065,-0.8879,-0.5388,1.5415,0.0513,0.1324
412,-0.0222,-0.818,-0.5464,0.9487,-0.0415,0.1153
413,-0.0243,-0.8518,-0.4668,0.564,0.0104,0.0334
414,-0.0189,-0.9263,-0.3688,1.0441,0.0252,0.0692
415,-0.0305,-0.9199,-0.3834,1.2299,0.029,0.1333
416,-0.0165,-0.9089,-0.4207,1.2174,0.0249,0.1288
417,-0.0204,-0.9147,-0.3693,1.0622,0.0035,0.0877
418,-0.0258,-0.9126,-0.3507,0.7839,-0.0438,0.0374
419,-0.0393,-0.9346,-0.3314,0.7202,-0.0834,0.0385
420,-0.0314,-0.9287,-0.3003,0.77,-0.0814,0.0545
421,-0.0397,-0.9487,-0.2772,0.9642,-0.017,0.0703
422,-0.0338,-0.958,-0.2443,1.0152,0.0511,0.064
423,-0.0342,-0.9713,-0.2357,0.9527,0.0403,0.0514
424,-0.045,-0.9803,-0.2112,0.9256,-0.0138,0.0586
425,-0.0415,-0.975,-0.1718,1.0009,0.033,0.0443
426,-0.0513,-0.9979,-0.1349,1.1812,0.0794,0.0936
427,-0.0463,-0.9935,-0.1157,1.2049,-0.0349,0.0832
428,-0.0459,-0.989,-0.0826,1.3435,0.0206,0.0358
429,-0.0378,-0.9932,-0.0199,1.555,0.0664,0.0378
430,-0.0383,-1.0308,-0.007,1.7706,0.1068,0.0567
